,URL
0,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d51c821ff9a0bf:0xfdae22bd41b4094c!8m2!3d43.9306684!4d-78.8771756!16s%2Fg%2F1td1kzwb!19sChIJv6D5H4Ic1YkRTAm0Qb0irv0?authuser=0&hl=en&rclk=1
1,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d51b00e46a7933:0x1dd85b9e65c4d995!8m2!3d43.9643752!4d-78.9039943!16s%2Fg%2F11pph8rhz9!19sChIJM3lq5AAb1YkRldnEZZ5b2B0?authuser=0&hl=en&rclk=1
2,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d51c1df119876f:0xb0953760d65e93f!8m2!3d43.9229586!4d-78.9275998!16s%2Fg%2F1tvyms6x!19sChIJb4cZ8R0c1YkRP-llDXZTCQs?authuser=0&hl=en&rclk=1
3,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d5198ffa51df95:0x8001d72a107b210a!8m2!3d43.9503534!4d-78.9604522!16s%2Fg%2F11h93t6zy7!19sChIJld9R-o8Z1YkRCiF7ECrXAYA?authuser=0&hl=en&rclk=1
4,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d51c45cf1f948f:0x9b8734fc26406984!8m2!3d43.9075709!4d-78.8997964!16s%2Fg%2F11f3r6yl2y!19sChIJj5Qfz0Uc1YkRhGlAJvw0h5s?authuser=0&hl=en&rclk=1
5,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d51b4ff59b1c35:0x72013ff7673f4cba!8m2!3d43.9403317!4d-78.848318!16s%2Fg%2F11xxgqjxx!19sChIJNRyb9U8b1YkRukw_Z_c_AXI?authuser=0&hl=en&rclk=1
6,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d51cc9d510cee5:0xf0ca41ae8e1bfc6a!8m2!3d43.9070345!4d-78.8562627!16s%2Fg%2F11c70hdfvv!19sChIJ5c4Q1ckc1YkRavwbjq5ByvA?authuser=0&hl=en&rclk=1
7,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d51b461e7c366b:0x499480e2ef8396df!8m2!3d43.9444609!4d-78.8488823!16s%2Fg%2F11b5wjwmty!19sChIJazZ8HkYb1YkR35aD7-KAlEk?authuser=0&hl=en&rclk=1
8,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d51a376723b51b:0x7ecf91f53322ba52!8m2!3d43.9817044!4d-78.9106563!16s%2Fg%2F11ddxsls_z!19sChIJG7UjZzca1YkRUroiM_WRz34?authuser=0&hl=en&rclk=1
9,https://www.google.ca/maps/place/Tim+Hortons/data=!4m7!3m6!1s0x89d51cdc8964adf7:0x3cabb1bc10b01d54!8m2!3d43.8991738!4d-78.8560532!16s%2Fg%2F1v5_bd_2!19sChIJ961kidwc1YkRVB2wELyxqzw?authuser=0&hl=en&rclk=1
